,DAY,TEAM_1,TEAM_1_XG,SCORE,TEAM_2,TEAM_2_XG
6,Wed,Arsenal,2.3,3–0,Monaco,0.5
6,Wed,Milan,2,2–1,Red Star,0.4
6,Wed,Feyenoord,1,4–2,Sparta Prague,0.7
6,Wed,Dortmund,2.7,2–3,Barcelona,2
6,Wed,Stuttgart,2.3,5–1,Young Boys,0.2
6,Wed,Juventus,1.1,2–0,Manchester City,1.2
,,,,,,
7,Tue,Monaco,1.5,1–0,Aston Villa,0.9
7,Tue,Atalanta,4.9,5–0,Sturm Graz,0.8
7,Tue,Liverpool,2.5,2–1,Lille,0.5
7,Tue,Benfica,3.3,4–5,Barcelona,3.6
7,Tue,Slovan Bratislava,0.6,1–3,Stuttgart,3.4
7,Tue,Atlético Madrid,0.8,2–1,Leverkusen,0.8
7,Tue,Red Star,2.6,2–3,PSV Eindhoven,0.8
7,Tue,Bologna,2.1,2–1,Dortmund,1
7,Tue,Club Brugge,0.7,0–0,Juventus,0.4
7,Wed,RB Leipzig,2.3,2–1,Sporting CP,0.9
7,Wed,Shakthar,1.9,2–0,Brest,0.4
7,Wed,Celtic,1.8,1–0,Young Boys,1
7,Wed,Arsenal,2.4,3–0,Dinamo Zagreb,0.1
7,Wed,Paris S-G,2.8,4–2,Manchester City,1.7
7,Wed,Feyenoord,1.7,3–0,Bayern Munich,2.4
7,Wed,Real Madrid,2.8,5–1,RB Salzburg,0.4
7,Wed,Sparta Prague,0.4,0–1,Inter,0.9
7,Wed,Milan,1.3,1–0,Girona,1
,,,,,,
8,Wed,Manchester City,2,3–1,Club Brugge,1.1
8,Wed,Sporting CP,1.3,1–1,Bologna,1.1
8,Wed,Aston Villa,3.9,4–2,Celtic,0.8
8,Wed,Juventus,0.9,0–2,Benfica,2.2
8,Wed,Brest,1.4,0–3,Real Madrid,2.6
8,Wed,RB Salzburg,0.6,1–4,Atlético Madrid,2.1
8,Wed,Dinamo Zagreb,1.4,2–1,Milan,1.1
8,Wed,Bayern Munich,3.7,3–1,Slovan Bratislava,0.9
8,Wed,Sturm Graz,1.3,1–0,RB Leipzig,1.5
8,Wed,Lille,1.3,6–1,Feyenoord,0.7
8,Wed,Girona,0.7,1–2,Arsenal,2.1
8,Wed,Young Boys,0.4,0–1,Red Star,1.8
8,Wed,Stuttgart,0.8,1–4,Paris S-G,2.4
8,Wed,Inter,3.9,3–0,Monaco,0.2
8,Wed,Dortmund,2.4,3–1,Shakthar,0.4
8,Wed,Barcelona,2.4,2–2,Atalanta,1.2
8,Wed,PSV Eindhoven,1.3,3–2,Liverpool,1.6
8,Wed,Leverkusen,1.7,2–0,Sparta Prague,0.7
